Poem,Poemstyle
"""కలరున్ దాతలు; నిత్తురున్ ధనములుం; గామ్యార్థముల్ గొంచు వి
ప్రులు నేతెంతురు; గాని యీవిని బలిం బోలన్ వదాన్యుండు లేఁ
డలఘుండై యొనరించె నధ్వరశతం బా భార్గవానుజ్ఞచే;
బలి వేఁడం బడయంగ వచ్చు బహుసంపల్లాభముల్ వామనా! """,మత్తేభము
"""చండస్ఫూర్తి వటుండుఁ గాంచె బహుధాజల్పన్నిశాటంబు, ను
ద్దండాహూత మునీభ్యబిభ్యదమృతాంధస్సిద్ధకూటంబు, వే
దండాశ్వధ్వజనీ కవాటము, మహోద్యద్ధూమ సంఛన్న మా
ర్తాండస్యందన ఘోటమున్, బలిమఖాంత ర్వేదికావాటమున్""",శార్ధూలము
"""శంభుండో హరియో పయోజభవుఁడో చండాంశుఁడో వహ్నియో
దంభాకారత వచ్చెఁ గాక ధరణిన్ ధాత్రీసురుం డెవ్వడీ
శుంభద్యోతనుఁ డీ మనోజ్ఞ తనుఁ"" డంచున్ విస్మయభ్రాంతులై
సంభాషించిరి బ్రహ్మచారిఁ గని తత్సభ్యుల్ రహస్యంబుగన్.""",శార్ధూలము
"""ఇతఁడే దానవచక్రవర్తి సురలోకేంద్రాగ్నికాలాది ది
క్పతి గర్వాపనయప్రవర్తి, గతలోభస్ఫూర్తి, నానా మఖ
వ్రతదానప్రవణానువర్తి, సుమనోరామామనోభేదనో
ద్ధత చంద్రాతపకీర్తి, సత్యకరుణా ధర్మోల్లసన్మూర్తి దాన్.""",మత్తేభము
"""స్వస్తి జగత్త్రయీ భువన శాసన కర్తకు హాసమాత్ర వి
ధ్వస్త నిలింపభర్తకు, నుదారపదవ్యవహర్తకున్, మునీం
ద్రస్తుత మంగళాధ్వర విధాన విహర్తకు, నిర్జరీగళ
న్యస్త సువర్ణసూత్ర పరిహర్తకు, దానవలోక భర్తకున్.""",ఉత్పలమాల
"""వడుగా! యెవ్వరివాఁడ? వెవ్వఁడవు? సంవాసస్థలంబెయ్య? ది
య్యెడకున్ నీ వరుదెంచుటన్ సఫలమయ్యెన్ వంశమున్ జన్మముం;
గడు ధన్యాత్ముఁడనైతి; నీ మఖము యోగ్యంబయ్యె; నా కోరికల్
గడతేఱెన్; సుహుతంబులయ్యె శిఖులుం; గల్యాణ మిక్కాలమున్.""",మత్తేభము
"""వరచేలంబులొ మాడలో ఫలములో వన్యంబులో గోవులో
హరులో రత్నములో రథంబులొ విమృష్టాన్నంబులో కన్యలో
కరులో కాంచనమో నికేతనములో గ్రామంబులో భూములో
ధరణీ ఖండమొ కాక యే మడిగెదో ధాత్రీసురేంద్రోత్తమా! """,మత్తేభము
"""ఎదురై పోర జయింప రా దితనిఁ; గా కెందేనియుం బోవ భీ
ప్రదుఁడై ప్రాణులఁ దోలు మృత్యువు క్రియం బైవచ్చు నంచుం గ్రియా
విదుఁ డబ్జాక్షుఁడు సూక్ష్మరూపమున నావేశించె నిశ్శ్వాస రం
ధ్ర దిశన్ దైత్యు హృదంతరాళమునఁ బ్రత్యక్షక్రియాభీరుఁడై""",మత్తేభము
"""వసుధాఖండము వేఁడితో? గజములన్ వాంఛించితో? వాజులన్
వెసనూహించితొ? కోరితో యువతులన్ వీక్షించి కాంక్షించితో?
పసి బాలుండవు; నేర వీ వడుగ; నీ భాగ్యంబు లీపాటి గా
కసురేంద్రుండు పదత్రయం బడుగ నీ యల్పంబు నీ నేర్చునే?""",మత్తేభము
"""గొడుగో, జన్నిదమో, కమండలువొ, నాకున్ ముంజియో, దండమో,
వడుఁ గే నెక్కడ భూము లెక్కడ? కరుల్, వామాక్షు, లశ్వంబు లె
క్కడ? నిత్యోచిత కర్మ మెక్కడ? మదాకాంక్షామితంబైన మూఁ
డడుగుల్ మేరయ త్రోవ కిచ్చుటది బ్రహ్మాండంబు నా పాలికిన్.""",మత్తేభము
"""ఆశాపాశము దాఁ గడున్ నిడుపు; లే దంతంబు రాజేంద్ర! వా
రాశిప్రావృత మేదినీవలయ సామ్రాజ్యంబు చేకూడియుం
గాసిం బొందిరిఁ గాక వైన్య గయ భూకాంతాదులున్నర్థకా
మాశం బాయఁగ నేర్చిరే మును నిజాశాంతంబులం జూచిరే.""",శార్ధూలము
"""కులమున్ రాజ్యముఁ దేజమున్ నిలుపు మీ కుబ్జుండు విశ్వంభరుం
డలతిం బోఁడు; త్రివిక్రమస్ఫురణ వాఁడై నిండు బ్రహ్మాండముం;
గలఁడే మాన్ప నొకండు? నా పలుకు లాకర్ణింపు కర్ణంబులన్;
వలదీ దానము గీనముం బనుపుమా వర్ణిన్ వదాన్యోత్తమా! """,మత్తేభము
"""కారే రాజులు? రాజ్యముల్ గలుగవే? గర్వోన్నతిం బొందరే?
వారేరీ సిరిమూటఁగట్టుకొని పోవం జాలిరే? భూమిపైఁ
బేరైనం గలదే? శిబిప్రముఖులుం బ్రీతిన్ యశః కాములై
యీరే కోర్కులు? వారలన్ మఱచిరే యిక్కాలమున్? భార్గవా!""",శార్ధూలము
"""ఆదిన్ శ్రీసతి కొప్పుపైఁ, దనువుపై, నంసోత్తరీయంబుపై,
బాదాబ్జంబులపైఁ, గపోలతటిపైఁ, బాలిండ్లపై నూత్నమ
ర్యాదం జెందు కరంబు గ్రిం దగుట మీఁదై నా కరంబుంట మేల్
గాదే? రాజ్యము గీజ్యమున్ సతతమే? కాయంబు నాపాయమే?""",శార్ధూలము
"""నిరయంబైన, నిబంధమైన, ధరణీ నిర్మూలనంబైన, దు
ర్మరణంబైనఁ గులాంతమైన నిజమున్ రానిమ్ము; కానిమ్ము పో;
హరుఁడైనన్, హరియైన, నీరజభవుం డభ్యాగతుండైన నౌఁ;
దిరుగన్ నేరదు నాదు జిహ్వ; వినుమా; ధీవర్య! వే యేటికిన్?""",మత్తేభము
"""అన్నవు నీవు చెల్లెలికి; నక్కట! మాడలు చీర లిచ్చుటో?
మన్నన చేయుటో? మధుర మంజుల భాషల నాదరించుటో?
""మిన్నుల మ్రోతలే నిజము, మే""లని చంపకు మన్న! మాని రా
వన్న! సహింపు మన్న! తగ దన్న! వధింపకు మన్న! వేడెదన్.""",ఉత్పలమాల
"""చెలియల్, కన్నియ, ముద్దరా, లబల, నీ సేమంబె చింతించు ని
ర్మల, దీనిన్ బయలాడుమాటలకు నై మర్యాదఁ బోఁదట్టి, స
త్కుల జాతుండవు, పుణ్యమూర్తి, వకటా! కోపంబు పాపంబు, నె
చ్చెలి నోహో! తెగవ్రేయఁ బాడి యగునే? చింతింపు భోజేశ్వరా!""",మత్తేభము
"""కలఁగంబాఱి మఱందిఁ జెల్లెలి నుదగ్రక్రోధుడై పట్టి బ
ద్ధులఁ గావించి హరిం దలంచి వెస తోడ్తో వారు గన్నట్టి పు
త్రులఁ జంపెన్; గురు నుగ్రసేను యదుఁ దద్భోజాంధకాధీశు ని
ర్మలు బట్టెం గడు వాలి యేలెఁ జలమారన్ శూరసేనంబులన్.""",మత్తేభము
"""ఆ వసుదేవుఁ డంతఁ దన యం దఖిలాత్మక మాత్మ భూతముం
బావనరేఖయున్ భువనభద్రమునై వెలుఁగొందుచున్న ల
క్ష్మీవిభు తేజ మచ్చుపడఁ జేర్చినఁ దాల్చి నవీనకాంతితో
దేవకి యొప్పెఁ బూర్వయగు దిక్సతి చంద్రునిఁ దాల్చు కైవడిన్.""",ఉత్పలమాల
"""ఏమి దలంచువాఁడ? నిఁక నెయ్యది కార్యము? నాఁడునాఁటికిం
గామిని చూలు పెంపెసఁగె; గర్భిణిఁ జెల్లెలి నాఁడు పేద నే
నేమని చంపువాడఁ? దగ వేలని చంపితినేని శ్రీయు ను
ద్దామయశంబు నాయువును ధర్మమునుం జెడిపోవ కుండునే?""",ఉత్పలమాల
"""పుట్టువు లేని నీ కభవ! పుట్టుట క్రీడయె కాక పుట్టుటే?
యెట్టనుడున్ భవాదిదశ లెల్లను జీవులయం దవిద్య దాఁ
బుట్టుచు నుండుఁ గాని నినుఁ బుట్టినదింబలెఁ బొంతనుండియుం
జుట్టఁగ లేని తత్క్రియలఁ జొక్కని యెక్కటి వౌదు వీశ్వరా!""",ఉత్పలమాల
"""గురు పాఠీనమవై, జలగ్రహమవై, కోలంబవై, శ్రీనృకే
సరివై, భిక్షుఁడవై, హయాననుఁడవై, క్ష్మాదేవతాభర్తవై,
ధరణీనాథుడవై, దయాగుణగణోదారుండవై, లోకముల్
పరిరక్షించిన నీకు మ్రొక్కెద; మిలాభారంబు వారింపవే.""",మత్తేభము
"""మింటన్ మ్రోసిన మ్రోత తాలిమిని లోమేండ్రింప మున్ నీవు నా
యింటం బుట్టెద వంచుఁ గంసుడు దొడిన్ హింసించె నీ యన్నలం;
గంటం గూరుకుఁ దేఁడు; నీ యుదయ మా కారాజనుల్ చెప్పగాఁ
బంటింపం; డెదురేఁగుదెంచు వడి నీపై నేఁడు సన్నద్ధుఁడై.""",శార్ధూలము
"""విశ్వము లీల ద్రిప్పుచు నవిద్యకు జుట్టమ వైన నీకు దా
శాశ్వతమైన కాలమిది సర్వము వేడబమందు; రట్టి వి
శ్వేశ్వర! మేలుకుప్ప! నిను నెవ్వఁడుఁ గోరి భజించు వాడె పో
శాశ్వతలక్ష్మి మృత్యుజయ సౌఖ్యయుతుం డభయుండు మాధవా!""",ఉత్పలమాల
"""అన్న! శమింపుమన్న! తగ దల్లుఁడు గాఁ డిది మేనగోడ లౌ
మన్నన జేయు మన్న! విను మానినిఁ జంపుట రాచపాడి గా
దన్న! సుకీర్తివై మనఁగ దన్న! మహాత్ములు పోవు త్రోవఁ బో
వన్న! భవత్సహోదరిఁ గదన్న! నినున్ శరణంబు వేడెదన్.""",ఉత్పలమాల
"""తెంపరివై, పొరిం బొరిని, దేవకిబిడ్డలఁ జిన్నికుఱ్ఱలం
జంపితి, వంతనైన నుపశాంతి వహింపక, ఱాలమీఁద నొ
ప్పింపితి, విస్సిరో! యిదియు బీరమె? నా సరసన్ జనించి నిన్
జంపెడు వీరుఁ డొక్క దెస సత్కృతి నొందెడువాడు; దుర్మతీ!""",ఉత్పలమాల
"""పాపుఁడ; బాలఘాతకుఁడ; బంధు విరక్తుఁడ; దుష్ట చిత్తుఁడన్;
గోపనుఁడన్; జరన్మృతుఁడఁ; గ్రూరుఁడ; బ్రాహ్మణహంత భంగి మీ
పాపల జంపితిన్; బయలి పల్కుల నమ్మితి; సాధులార! నా
పాపము లుగ్గడింపక, కృపాపరులై కనరే! శమింపరే!""",ఉత్పలమాల
"""ఒక్కెడఁ బ్రాణులందఱు నిజోచితకర్మము లోలిఁ ద్రిప్పగా,
నొక్కొక మేనితో బొడమి, యొక్కొక త్రోవను రాకపోకలం
జిక్కులఁ బొందుచుండుదురు; చెల్మిని సంసృతితోడఁ బాయ, రే
నెక్కడి హంత? మీ శిశువు లెక్కడి హన్యులు? దూఱనేటికిన్?""",ఉత్పలమాల
"""బావా! నీ వచనంబు నిక్కము సుమీ; ప్రాణుల్ గతజ్ఞాను లై
నీవే నంచును లోభ మోహ మద భీ నిర్మిత్రతామోద శో
కావేశంబుల నొండొరుం బొడుతు రేకాకారుఁడై సర్వరూ
పావిష్టుండగు నీశ్వరుం దెలియలే రన్యోన్యవిభ్రాంతులై""",శార్ధూలము
"""భవదీయోజ్జ్వల బాహుచాప విలసద్బాణావళీ భగ్నులై,
దివిజాధీశ్వరు లే క్రియంబడిరొ? యే దేశంబులం డాఁగిరో?
శివునిం జొచ్చిరొ? బ్రహ్మఁ జెందిరొ? హరిన్ సేవించిరో? మౌని వృ
త్తి వనాంతంబుల నిల్చిరో? మనకు శోధింపం దగున్ వల్లభా!""",మత్తేభము
"""అమరశ్రేణికి నెల్లఁ జక్రి ముఖరుం; డా చక్రి యేధర్మమం
దమరున్; గోవులు, భూమిదేవులు, దితిక్షామ్నాయ కారుణ్య స
త్యములున్, యాగ తపోదమంబులును, శ్రద్ధాశాంతులున్ విష్ణుదే
హము; లిన్నింటిని సంహరించిన నతం డంతంబునుం బొందెడిన్.""",మత్తేభము
"""చంపుదుమే నిలింపులను? జంకెల ఱంకెలఁ దాపసావళిం
బంపుదుమే కృతాంతకుని పాలికిఁ? గ్రేపులతోడ గోవులం
ద్రుంపుదుమే? ధరామరులఁ దోలుదుమే? నిగమంబులన్ విదా
రింపుదుమే? వసుంధర హరింపుదు మే? జననాథ! పంపుమా.""",ఉత్పలమాల
"""వేడుకతోడఁ గ్రొమ్ముడులు వీడఁ, గుచోపరి హారరేఖ ల
ల్లాడఁ, గపోలపాలికల హాటకపత్రరుచుల్ వినోదనం
బాడఁ, బటాంచలంబు లసియాడఁగఁ, జేరి, యశోద యింటికిన్
జేడియ లేగి, చూచి రొగి జిష్ణుని విష్ణునిఁ జిన్నికృష్ణునిన్.""",ఉత్పలమాల
"""చెయువుల్ జేయుతఱిన్ విధాతకరణిం జెన్నొందు, సంతోష దృ
ష్టి యుతుండై నగుచున్ జనార్దనుని మాడ్కిం బొల్చు, రోషించి యు
న్న యెడన్ రుద్రునిభంగి నొప్పును, సుఖానందంబునం బొంది త
న్మయుడై బ్రహ్మముభాతి బాలుఁ డమరు న్బాహుళ్య బాల్యంబునన్.""",మత్తేభము
"""పలురోగంబుల నొందకున్నవె పసుల్? పాలిచ్చునే ధేనువుల్?
గొలఁకుల్ వాగులు వారిపూరితములే? గోష్ఠ ప్రదేశంబులం
బులులున్ దుప్పులు సంచరింపవు గదా? పొల్పారునే ఘోషముల్?
కలవే పచ్చని పూరిజొంపములు, తత్కాంతార భాగంబులన్?""",మత్తేభము
"""నీకున్ దేవకికిన్ జనించిన సుతానీకంబుఁ దోడ్తోడ ము
న్నీకంసుండు వధించె; మీ సుతఁ దుదిన్ హింసింపఁ, జే తప్పి, తా
నాకాశంబున కేగె; బాల యిది; దైవాధీనమాపద్దశన్
శోకంబందునె తజ్ఞుఁ; డూఱడిలు! నా సూనుండు నీ సూనుఁడే.""",శార్ధూలము
"""సిరి మమ్మున్ బ్రతుకంగఁ జూచుకొఱకై, శృంగారవేషంబుతో
నరుదేనోపు నటంచు గోపికలు జిహ్వల్ రాక మోహించి త
త్పరులై చూడ, లతాంగి బోయి కనియెం, బర్యంక మధ్యంబునం
బరు, భస్మానలతేజు, దుర్జనవధ ప్రారంభకున్, డింభకున్.""",మత్తేభము
"""ఆ లోకేశ్వరుఁ, డా చరాచరవిభుం, డా బాలగోపాలుఁ, డా
బాలధ్వంసిని గొంటు కంటిడి వెసన్ బాలింతచందంబునన్,
బాలిండ్లన్ విష మూని, వచ్చుట మదిన్ భావించి, లో నవ్వుచున్
గాలుం గేలు నెఱుంగకున్న కరణిం గన్మోడ్చి, గుర్వెట్టుచున్.""",శార్ధూలము
"""వనితా! ముట్టకు మమ్మ; చన్ను గుడుపన్వల్దమ్మ; నీ చన్నుమా
తనయుం డొల్లఁడు; వాసి పొ""మ్మని యశోదా రోహిణుల్ జీరఁ, గై
కొన, కీక్షించుచు మాయఁ బన్ని, పెలుచం గోశంబులో వాలు మె
ల్పున రాజిల్లుచు, మాట మెత్తఁదనమున్, లోవాడియు న్నేర్పడన్.""",మత్తేభము
"""అదరెం గొండలతోడ భూమి; గ్రహతారానీకముల్ మింటిపై
బెదరెన్; దిక్కుల మాఱు మ్రోత లెసఁగెన్; భీతిల్లి లోకంబులుం
గదలం బాఱెను; వజ్రభిన్నగిరిరేఖం బూర్వదేహంబుతోఁ
ద్రిదశధ్వంసిని గూలి, కుయ్యిడిన దద్దీర్ఘోరు ఘోషంబునన్.""",మత్తేభము
"""నేలంగూలిన దాని పెన్నురముపై నిర్భీతిఁ గ్రీడింప, ""నో!
బాలా! ర""మ్మని మూపుఁ జేర్చుకొని, సంస్పర్శించి, యూరార్చుచున్
గోలాంగూలముఁ ద్రిప్పి, గోవురజమున్ గోమూత్రముం జల్లి, త
ద్బాలాంగంబుల గోమయం బలఁది; రా పండ్రెండు నామంబులన్.""",శార్ధూలము
"""బాలుం డెక్కడ? బండి యెక్కడ? నభోభాగంబుపైఁ జేడ్పడం
గాలం దన్నుట యెక్క? డేల పడుచుల్ గల్లాడి? రీ జడ్డు ప
ల్కే లోకంబున నైనఁ జెప్పఁబడునే? యే చందమో కాక"" యం
చాలాపించుచుఁ బ్రేలు వ్రేతలు ప్రభూతాశ్చర్యలై రంతటన్.""",శార్ధూలము
"""పాపనిఁ జూడఁ గానక విపద్దశ నొంది కలంగి తల్లి ""యో
పాపఁడ! బాలసూర్యనిభ! బాలశిరోమణి! నేడు గాలికిం
జేపడిపోయితే"" యనుచుఁ జీరుచు దైవముఁ జాల దూఱుచుం
దాపము నొంది నెవ్వగల డయ్యుచుఁ గుందుచు బిట్టు గూయుచున్""",ఉత్పలమాల
"""ఇక్కడఁ బెట్టితిం దనయుఁ డిక్కడ నాడుచు నుండె గాలి దా
నెక్కడ నుండి వచ్చె శిశు వెక్కడి మార్గము పట్టిపోయె నే
నెక్కడఁ జొత్తు"" నంచుఁ గమలేక్షణ గ్రేపుఁ దొఱంగి ఖిన్నయై
పొక్కుచు వ్రాలు గోవు క్రియ భూస్థలి వ్రాలె దురంత చింతయై""",ఉత్పలమాల
"""ఆలోఁ జక్రసమీరదైత్యుఁడు మహాహంకారుఁడై మింటికిన్
బాలుం దోకొనిపోయి పోయి తుదిఁ దద్భారంబు మోవన్ బల
శ్రీ లేమిం బరిశాంత వేగుఁ డగుచుం జేష్టింపఁగా లేక ము
న్నీలా గర్భకుఁ జూడ నంచు నిటమీఁ దెట్లంచుఁ జింతించుచున్.""",శార్ధూలము
"""గత జన్మంబుల నేమి నోఁచితిమొ? యాగశ్రేణు లేమేమి జే
సితిమో? యెవ్వరి కేమి పెట్టితిమొ? యే చింతారతిం బ్రొద్దు పు
చ్చితిమో? సత్యము లేమి పల్కితిమొ? యే సిద్ధప్రదేశంబుఁ ద్రొ
క్కితిమో? యిప్పుడు జూడఁగంటి మిచటం గృష్ణార్భకు న్నిర్భయున్""",మత్తేభము
"""జ్యోతిశ్శాస్త్రుల కెల్ల మేటరివి తేజోమూర్తి వాశాంత వి
ఖ్యాత స్ఫూర్తివి బ్రహ్మబోధనుఁడ వాకర్ణింపు నా పల్కు ని
ర్ణీతుండైన గురుండు మానవులకున్ విప్రోత్తముం డండ్రు నీ
చాతుర్యంబున నీ కుమారులకు సంస్కారంబుఁ గావింపవే.""",శార్ధూలము
"""చప్పుడు చేయకుండు మని జంకె యొనర్చిన నల్గిపోవఁగా
నప్పుడు బార చాఁచి తన యర్మిలి విందులు వచ్చి రంచు న
వ్వొప్పఁగఁ జీరు తల్లి దెస కొత్తిలి కృష్ణుఁడు రంతు జేయుచు
న్నెప్పటియట్ల చన్గుడుచు నింపొలయన్ మొలగంట మ్రోయఁగన్.""",ఉత్పలమాల
"""కాంతలు దల్లితోఁ దన వికారము లెల్ల గణింప భీతుఁ డై
శాంతుని సొంపునం బరమ సాధుని పెంపున గోలమాడ్కి వి
భ్రాంతుని కైవడిన్ జడుని భంగిఁ గుమారకుఁ డూరకుండె నే
వింతయు లేక దల్లి కుచవేదికపైఁ దల మోపి యాడుచున్.""",ఉత్పలమాల
"""అమ్మా! మన్నుదినంగ నే శిశువునో? యాఁకొంటినో? వెఱ్ఱినో?
నమ్మం జూడకు వీరి మాటలు మదిన్; న న్నీవు గొట్టంగ వీ
రి మ్మార్గంబు ఘటించి చెప్పెదరు; కాదేనిన్ మదీయాస్య గం
ధ మ్మాఘ్రాణము జేసి నా వచనముల్ దప్పైన దండింపవే.""",శార్ధూలము
"""కలయో! వైష్ణవ మాయయో! యితర సంకల్పార్థమో! సత్యమో!
తలఁపన్ నేరక యున్నదాననొ! యశోదాదేవిఁ గానో! పర
స్థలమో! బాలకుఁడెంత? యీతని ముఖస్థంబై యజాండంబు ప్ర
జ్వలమై యుండుట కేమి హేతువొ! మహాశ్చర్యంబు చింతింపఁగన్""",మత్తేభము
"""కడుపారం జనుబాలు ద్రావని సుతుం గంజాక్షి పీఠంబుపై
నిడి పొంగారెడు పాలు డించుటకుఁనై యేగంగఁ దద్బాలుఁ డె
క్కుడు కోపంబున వాఁడిఱాత దధిమత్కుంభంబుఁ బోఁగొట్టి తెం
పడరం గుంభములోని వెన్నఁ దినె మిథ్యా సంకులద్బాష్పుఁడై.""",మత్తేభము
"""కని చేతన్ సెలగోలఁ బట్టికొనుచుం ""గానిమ్ము గానిమ్ము రా
తనయా! యెవ్వరి యందుఁ జిక్కుపడ నేదండంబునుం గాన నే
వినివారంబును బొంద నే వెఱపు నే విభ్రాంతియుం జెంద ము
న్ననియో నీవిటు నన్నుఁ గైకొనమి నేఁడారీతి సిద్ధించునే.""""",మత్తేభము
"""స్తనభారంబున డస్సి క్రుస్సి యసదై జవ్వాడు మధ్యంబుతో
జనిత స్వేదముతోఁ జలత్కబరితో స్రస్తోత్తరీయంబుతో
వనజాతేక్షణ గూడ బాఱి తిరిగెన్ వారించుచున్ వాకిటన్
ఘనయోగీంద్ర మనంబులున్ వెనుకొనంగా లేని లీలారతున్.""",మత్తేభము
"""సంపన్నుం డొరుఁ గాన లేఁడు తనువున్ సంసారమున్ నమ్మి హిం
సింపం జూచు దరిద్రుఁ డెత్తుబడి శుష్కీభూతుఁడై చిక్కి హిం
సింపం డన్యుల నాత్మకున్ సముల కాఁ జింతించు నట్లౌటఁ ద
త్సంపన్నాంధున కంజనంబు వినుమీ దారిద్ర్య మూహింపఁగన్.""",శార్ధూలము
"""నీ పద్యావళు లాలకించు చెవులున్ నిన్నాడు వాక్యంబులున్
నీ పేరం బనిచేయు హస్తయుగముల్ నీ మూర్తిపైఁ జూపులున్
నీ పాదంబుల పొంత మ్రొక్కు శిరముల్ నీ సేవపైఁ జిత్తముల్
నీ పై బుద్ధులు మాకు నిమ్ము కరుణన్ నీరేజపత్రేక్షణా!""",శార్ధూలము
"""పాడున్ మందుని భంగి; గోపవనితల్ పాణిధ్వనుల్ సేయఁగా
నాడున్ జంత్రముకైవడిం; బరవశుండై హస్తముల్ త్రిప్పుచుం;
జూడన్ నేరని వాని భంగి జనులం జూచున్; నగున్; బాలురం
గూడున్ బెద్దలపంపు చేయఁజను; డాగున్; మట్టిఁ జిట్టాడుచున్.""",శార్ధూలము
"""ఇక్కడ నుందురే మనుజు? లీ మన కృష్ణున కెగ్గు చేయఁగా
రక్కసురాలు చ న్నొసఁగె; ఱాలపయిన్ సుడిగాలి వీచెఁ; బై
గ్రిక్కిఱియం దరుల్ వడియెఁ; గేశవు సత్కృపఁ దప్పెఁ; జాలు నేఁ
డెక్కడి కైనఁ బోవలయు నిం కిట గోపకులార! వింటిరే?""",ఉత్పలమాల
"""ఇది యొక మంచిలేగ; వినుఁ డెంతయు నొప్పెడి"" నంచు దాని త
త్పదములు తోఁకయున్ బిగియఁబట్టి చెలంగి వెలంగ మ్రానితోఁ
జదియఁగ నొక్క పెట్టుగొని చంపెఁ గుమారుఁడు లేఁగరక్కసుం
గుదులుకొనంగ బాలకులు గోయని యార్వ నఖర్వ లీలతోన్.""",చంపకమాల
"""చంచువు దీఁటి పక్షములు జల్లున విచ్చి పదంబు లెత్తి కు
ప్పించి నభంబుపై కెగసి, భీషణ ఘోషణ వక్తృడై విజృం
భించి గరుత్సమీరమున భిన్నము లై తరులోలిఁ గూలఁగా
మించి బకాసురుం డొడిసి మ్రింగె సహిష్ణునిఁ జిన్నికృష్ణునిన్.""",ఉత్పలమాల
"""కంఠోపాంతము దౌడలున్ మెఱముచుం గాలాగ్ని చందంబునం
గుంఠీభూతుఁడు గాక వేండ్రమగు నా గోపాలబాలున్ జయో
త్కంఠున్ బ్రహ్మగురున్ మహామహిముఁ జక్కం మ్రింగ రాదంచు సో
ల్లుంఠం బాడుచు వాఁడు గ్రక్కె వెడలన్ లోకం బశోకంబుగన్.""",శార్ధూలము
"""ఎన్నఁడునైన యోగివిభు లెవ్వని పాదపరాగ మింతయుం
గన్నులఁ గాన రట్టి హరిఁ గౌఁగిఁటఁ జేర్చుచుఁ జెట్టఁ బట్టుచుం
దన్నుచు గ్రుద్దుచున్ నగుచుఁ దద్దయుఁ బైఁపడి కూడి యాడుచుం
మన్నన జేయు వల్లవకుమారుల భాగ్యము లింత యొప్పునే?""",ఉత్పలమాల
"""ఒక వన్యాజగరేంద్ర మల్లదె గిరీంద్రోత్సేధ మై దావ పా
వక కీలా పరుష ప్రచండతర నిశ్వాసంబుతో ఘోర వ
హ్ని కరాళాతత జిహ్వతోడ మనలన్ హింసింప నీక్షించుచున్
వికటంబై పడి సాగి యున్నది పురోవీధిం గనుంగొంటిరే?""",మత్తేభము
"""బకునిం జంపిన కృష్ణుఁ డుండ మనకుం బామంచుఁ జింతింప నే
టికి? రా పోదము దాఁటి; కాక యది కౌటిల్యంబుతో మ్రింగుడున్
బకువెంటం జనుఁ గృష్ణుచేత"" ననుచుం బద్మాక్షు నీక్షించి యు
త్సుకులై చేతులు వ్రేసికొంచు నగుచున్ దుర్వారులై పోవగన్.""",మత్తేభము
"""అర్భకు లెల్లఁ బాము దివిజాంతకుఁ డౌట యెఱుంగ; రక్కటా!
నిర్భయులై యెదుర్కొనిరి నేఁ గల” నంచు “విమూఢు” లంచు నా
విర్భవదాగ్రహత్వమున వెందగులన్ దమ లేఁగపిండుతో
దుర్భర ఘోర సర్ప ఘన తుండ బిలాంతముఁ జొచ్చి రందఱున్.""",మత్తేభము
"""వేల్పుల్ చూచి భయంబు నొంద గ్రసనావేశంబుతో నుజ్జ్వల
త్కల్పాంతోజ్జ్వలమాన జిహ్వ దహనాకారంబుతో మ్రింగె న
స్వల్పాహీంద్రము మాధవార్పిత మనోవ్యాపార సంచారులన్
యల్పాకారుల శిక్యభారులఁ గుమారాభీరులన్ ధీరులన్.""",శార్ధూలము
"""పడుచులు లేఁగలుం గలసి పైకొని వత్తురు తొల్లి కృష్ణ! మా
కొడుకు లదేల రా; రనుచు గోపిక లెల్లను బల్క నేక్రియన్
నొడివెద? నేఁడు పన్నగము నోరికి వీరికి నొక్కలంకెగా
నొడఁబడ నేలచేసె? విధి యోడక జేయుఁగదయ్య! క్రౌర్యముల్.""",ఉత్పలమాల
"""క్రూరవ్యాళ విశాల కుక్షిగతులన్ గోవత్ససంఘంబుతో
గారుణ్యామృతవృష్టిచేత బ్రతుకంగాఁ జూచి వత్సంబులున్
వారుం దాను దదాస్యవీధి మగుడన్ వచ్చెన్ ఘనోన్ముక్తుఁడై
తారానీకముతోడ నొప్పెసఁగు నా తారేశు చందంబునన్.""",శార్ధూలము
"""ఆ పెనుబాము మేన నొక యద్భుతమైన వెలుంగు దిక్తటో
ద్దీపకమై వడిన్ వెడలి దేవపథంబునఁ దేజరిల్లుచున్
క్రేపులు బాలురున్ బెదరఁ గృష్ణుని దేహము వచ్చి చొచ్చె నా
పాపఁడు చొచ్చి ప్రాణములఁ బాపిన యంతన శుద్ధసత్వమై.""",ఉత్పలమాల
"""ఆ వాద్యంబులు, నా మహాజయరవం, బా పాట, లా యాటలున్
దేవజ్యేష్ఠుఁడు పద్మజుండు విని ప్రీతిన్ భూమి కేతెంచి ""నే
డీ వత్సార్భకులన్ భుజంగపతి హింసింపంగ నీ బాలకుం
డేవెంటన్ బ్రతికించె? మే"", లనుచు నూహించెం గడుం నివ్వెఱన్.""",శార్ధూలము
"""కనియెం గృష్ణుఁడు సాధునీరము మహాగంభీరముం బద్మకో
కనదాస్వాద వినోద మోద మదభృంగ ద్వంద్వ ఝంకారమున్
ఘనకల్లోల లతావితాన విహరత్కాదంబ కోలాహల
స్వనవిస్ఫారము మందవాయుజ కణాసారంబుఁ గాసారమున్.""",మత్తేభము
